ID,DATE4,PROGRAM,TPE,DIRECT,INDIRECT,N,NUMBER,REF
MS-B 1.6  Provide a ,2016Q1,MS-BILINGUAL,1.6  Provide a supportive learning environment,1.47,3.61,54,1.6,211
MS-B 1.7  Provide st,2016Q1,MS-BILINGUAL,1.7  Provide students to access  visual and performing arts,1.58,2,16,1.7,212
MS-B 1.8  Monitor st,2016Q1,MS-BILINGUAL,1.8  Monitor student learning and adjust instruction,3.83,1.71,56,1.8,213
MS-B TPE 2: Creating,2016Q1,MS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,2.21,2.4,50,2,214
MS-B 2.1  Promote st,2016Q1,MS-BILINGUAL,2.1  Promote students' social-emotional growth,2.77,1.31,23,2.1,215
MS-B 2.2  Create lea,2016Q1,MS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,1.99,1.66,58,2.2,216
"MS-B 2.3  Establish,",2016Q1,MS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.99,1.36,65,2.3,217
MS-B 2.4  Know how t,2016Q1,MS-BILINGUAL,2.4  Know how to access resources to support students,3.65,2.79,30,2.4,218
MS-B 2.5  Maintain h,2016Q1,MS-BILINGUAL,2.5  Maintain high expectations for learning,3.55,3.66,72,2.5,219
MS-B 2.6  Establish ,2016Q1,MS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,1.57,1.57,72,2.6,220
MS-B TPE 3: Understa,2016Q1,MS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,3.54,3.67,80,3,221
MS-B 3.1  Demonstrat,2016Q1,MS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,3.88,3.07,98,3.1,222
MS-B 3.2  Use knowle,2016Q1,MS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,1.73,3.32,31,3.2,223
MS-B 3.3  Plan instr,2016Q1,MS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,2.18,2.53,24,3.3,224
MS-B 3.4  Individual,2016Q1,MS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,1.55,1.9,96,3.4,225
MS-B 3.5  Adapt and ,2016Q1,MS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,3.7,1.39,70,3.5,226
MS-B 3.6  Use a rang,2016Q1,MS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.88,3.49,99,3.6,227
MS-B 3.7  Model and ,2016Q1,MS-BILINGUAL,3.7  Model and develop digital literacy by using technology,2.84,2.12,21,3.7,228
MS-B 3.8  Demonstrat,2016Q1,MS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.49,3.78,74,3.8,229
MS-B TPE 4: Planning,2016Q1,MS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,1.26,1.31,80,4,230
MS-B 4.1  Locate and,2016Q1,MS-BILINGUAL,4.1  Locate and apply information about students' current academic status,2.52,3.06,12,4.1,231
MS-B 4.2  Understand,2016Q1,MS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.55,2.2,70,4.2,232
MS-B 4.3  Design ins,2016Q1,MS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.36,1.38,81,4.3,233
"MS-B 4.4  Plan, desi",2016Q1,MS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",1.81,1.27,40,4.4,234
MS-B 4.5  Promote st,2016Q1,MS-BILINGUAL,4.5  Promote student success,3.55,3.44,38,4.5,235
MS-B 4.6  Access res,2016Q1,MS-BILINGUAL,4.6  Access resources for planning and instruction,2.07,2.86,47,4.6,236
MS-B 4.7  Plan instr,2016Q1,MS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,3.25,2.65,48,4.7,237
MS-B 4.8  Use digita,2016Q1,MS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,1.63,2.54,24,4.8,238
MS-B TPE 5: Assessin,2016Q1,MS-BILINGUAL,TPE 5: Assessing Student Learning,2.16,1.25,90,5,239
MS-B 5.1  Apply know,2016Q1,MS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,2.69,1.33,17,5.1,240
MS-B 5.2  Collect an,2016Q1,MS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,2.13,2.22,100,5.2,241
MS-B 5.3  Involve al,2016Q1,MS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,1.85,2.95,54,5.3,242
MS-B 5.4  Use techno,2016Q1,MS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,3.88,1.2,18,5.4,243
MS-B 5.5  Use assess,2016Q1,MS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,3.13,1.82,82,5.5,244
MS-B 5.6  Work with ,2016Q1,MS-BILINGUAL,5.6  Work with specialists to interpret assessment results,3.15,1.87,17,5.6,245
MS-B 5.7  Interpret ,2016Q1,MS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,1.5,1.39,27,5.7,246
MS-B 5.8  Use assess,2016Q1,MS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",3.64,3.2,34,5.8,247
MS-B TPE 6: Developi,2016Q1,MS-BILINGUAL,TPE 6: Developing as a Professional Educator,1.7,2.16,74,6,248
MS-B 6.1  Reflect on,2016Q1,MS-BILINGUAL,6.1  Reflect on their own teaching practice,2.19,3.32,10,6.1,249
MS-B 6.2  Recognize ,2016Q1,MS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,2.28,1.73,61,6.2,250
MS-B 6.3  Establish ,2016Q1,MS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,2.02,1.91,41,6.3,251
MS-B 6.4  Demonstrat,2016Q1,MS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.98,2.5,37,6.4,252
MS-B 6.5  Demonstrat,2016Q1,MS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,3.58,3.24,67,6.5,253
MS-B 6.6  Understand,2016Q1,MS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,3.25,2.32,94,6.6,254
MS-B 6.7  Critically,2016Q1,MS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,1.91,2.17,15,6.7,255
MS-B TPE 1: Engaging,2016Q2,MS-BILINGUAL,TPE 1: Engaging and Supporting All Students,2.56,2.25,17,1,256
MS-B 1.1  Apply know,2016Q2,MS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,1.88,1.24,20,1.1,257
MS-B 1.2  Maintain o,2016Q2,MS-BILINGUAL,1.2  Maintain ongoing communication with students and families,2.43,3.77,60,1.2,258
MS-B 1.3  Connect su,2016Q2,MS-BILINGUAL,1.3  Connect subject matter to real-life contexts,3.15,3.2,86,1.3,259
MS-B 1.4  Use… appro,2016Q2,MS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,2.48,2.43,26,1.4,260
MS-B 1.5  Promote st,2016Q2,MS-BILINGUAL,1.5  Promote students' critical and creative thinking,2.59,1.08,84,1.5,261
MS-B 1.6  Provide a ,2016Q2,MS-BILINGUAL,1.6  Provide a supportive learning environment,3.67,3.11,27,1.6,262
MS-B 1.7  Provide st,2016Q2,MS-BILINGUAL,1.7  Provide students to access  visual and performing arts,3.65,2.73,92,1.7,263
MS-B 1.8  Monitor st,2016Q2,MS-BILINGUAL,1.8  Monitor student learning and adjust instruction,3.79,3.34,95,1.8,264
MS-B TPE 2: Creating,2016Q2,MS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,2.92,2.59,72,2,265
MS-B 2.1  Promote st,2016Q2,MS-BILINGUAL,2.1  Promote students' social-emotional growth,3.41,1.52,76,2.1,266
MS-B 2.2  Create lea,2016Q2,MS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,2.36,1.61,50,2.2,267
"MS-B 2.3  Establish,",2016Q2,MS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.87,1.54,56,2.3,268
MS-B 2.4  Know how t,2016Q2,MS-BILINGUAL,2.4  Know how to access resources to support students,1.99,2.43,76,2.4,269
MS-B 2.5  Maintain h,2016Q2,MS-BILINGUAL,2.5  Maintain high expectations for learning,2.29,3.65,99,2.5,270
MS-B 2.6  Establish ,2016Q2,MS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,1.65,2.11,57,2.6,271
MS-B TPE 3: Understa,2016Q2,MS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.62,3.19,78,3,272
MS-B 3.1  Demonstrat,2016Q2,MS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,1.67,2.2,96,3.1,273
MS-B 3.2  Use knowle,2016Q2,MS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,3.19,3.86,58,3.2,274
MS-B 3.3  Plan instr,2016Q2,MS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,3.54,1.94,18,3.3,275
MS-B 3.4  Individual,2016Q2,MS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,2.2,1.65,52,3.4,276
MS-B 3.5  Adapt and ,2016Q2,MS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,1.76,2.56,91,3.5,277
MS-B 3.6  Use a rang,2016Q2,MS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,1.72,3.8,31,3.6,278
MS-B 3.7  Model and ,2016Q2,MS-BILINGUAL,3.7  Model and develop digital literacy by using technology,1.32,1.59,52,3.7,279
MS-B 3.8  Demonstrat,2016Q2,MS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.08,1.84,70,3.8,280
MS-B TPE 4: Planning,2016Q2,MS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,2.59,1.7,93,4,281
MS-B 4.1  Locate and,2016Q2,MS-BILINGUAL,4.1  Locate and apply information about students' current academic status,3.07,3.33,100,4.1,282
MS-B 4.2  Understand,2016Q2,MS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,3.78,1.84,71,4.2,283
MS-B 4.3  Design ins,2016Q2,MS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.31,3.94,13,4.3,284
"MS-B 4.4  Plan, desi",2016Q2,MS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",1.98,3.71,88,4.4,285
MS-B 4.5  Promote st,2016Q2,MS-BILINGUAL,4.5  Promote student success,2.71,2.5,68,4.5,286
MS-B 4.6  Access res,2016Q2,MS-BILINGUAL,4.6  Access resources for planning and instruction,3.71,1.85,17,4.6,287
MS-B 4.7  Plan instr,2016Q2,MS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,1.33,3.71,43,4.7,288
MS-B 4.8  Use digita,2016Q2,MS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,2.39,3.34,46,4.8,289
MS-B TPE 5: Assessin,2016Q2,MS-BILINGUAL,TPE 5: Assessing Student Learning,1.27,1.99,25,5,290
MS-B 5.1  Apply know,2016Q2,MS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,1.02,2.32,45,5.1,291
MS-B 5.2  Collect an,2016Q2,MS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,1.55,3.37,92,5.2,292
MS-B 5.3  Involve al,2016Q2,MS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,3.03,3.5,85,5.3,293
MS-B 5.4  Use techno,2016Q2,MS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,1.18,3.5,39,5.4,294
MS-B 5.5  Use assess,2016Q2,MS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.72,3.51,89,5.5,295
MS-B 5.6  Work with ,2016Q2,MS-BILINGUAL,5.6  Work with specialists to interpret assessment results,1.92,3.42,67,5.6,296
MS-B 5.7  Interpret ,2016Q2,MS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.47,1.75,87,5.7,297
MS-B 5.8  Use assess,2016Q2,MS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",2.07,3.39,56,5.8,298
MS-B TPE 6: Developi,2016Q2,MS-BILINGUAL,TPE 6: Developing as a Professional Educator,2.34,2.05,11,6,299
MS-B 6.1  Reflect on,2016Q2,MS-BILINGUAL,6.1  Reflect on their own teaching practice,2.1,1.24,52,6.1,300
MS-B 6.2  Recognize ,2016Q2,MS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,1.07,2.39,97,6.2,301
MS-B 6.3  Establish ,2016Q2,MS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,3.82,2.83,28,6.3,302
MS-B 6.4  Demonstrat,2016Q2,MS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,1.15,2.71,94,6.4,303
MS-B 6.5  Demonstrat,2016Q2,MS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.65,3.32,92,6.5,304
MS-B 6.6  Understand,2016Q2,MS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,3.89,3.49,60,6.6,305
MS-B 6.7  Critically,2016Q2,MS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,2.4,2.48,17,6.7,306
MS-B TPE 1: Engaging,2016Q3,MS-BILINGUAL,TPE 1: Engaging and Supporting All Students,3.22,3.86,88,1,307
MS-B 1.1  Apply know,2016Q3,MS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,3.85,2.35,52,1.1,308
MS-B 1.2  Maintain o,2016Q3,MS-BILINGUAL,1.2  Maintain ongoing communication with students and families,2.78,2.07,81,1.2,309
MS-B 1.3  Connect su,2016Q3,MS-BILINGUAL,1.3  Connect subject matter to real-life contexts,2.54,3.01,32,1.3,310
MS-B 1.4  Use… appro,2016Q3,MS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,2.41,1.32,61,1.4,311
MS-B 1.5  Promote st,2016Q3,MS-BILINGUAL,1.5  Promote students' critical and creative thinking,2.66,3.18,43,1.5,312
MS-B 1.6  Provide a ,2016Q3,MS-BILINGUAL,1.6  Provide a supportive learning environment,1.58,3.34,47,1.6,313
MS-B 1.7  Provide st,2016Q3,MS-BILINGUAL,1.7  Provide students to access  visual and performing arts,1.61,2.42,58,1.7,314
MS-B 1.8  Monitor st,2016Q3,MS-BILINGUAL,1.8  Monitor student learning and adjust instruction,2.95,1.95,45,1.8,315
MS-B TPE 2: Creating,2016Q3,MS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.47,2.48,40,2,316
MS-B 2.1  Promote st,2016Q3,MS-BILINGUAL,2.1  Promote students' social-emotional growth,2.5,1.29,31,2.1,317
MS-B 2.2  Create lea,2016Q3,MS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,3.5,3.79,68,2.2,318
"MS-B 2.3  Establish,",2016Q3,MS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.66,3.96,61,2.3,319
MS-B 2.4  Know how t,2016Q3,MS-BILINGUAL,2.4  Know how to access resources to support students,3.33,1.39,12,2.4,320
MS-B 2.5  Maintain h,2016Q3,MS-BILINGUAL,2.5  Maintain high expectations for learning,1.18,1.36,43,2.5,321
MS-B 2.6  Establish ,2016Q3,MS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,3.41,3.82,54,2.6,322
MS-B TPE 3: Understa,2016Q3,MS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,2.11,3.29,68,3,323
MS-B 3.1  Demonstrat,2016Q3,MS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,2.74,1.15,15,3.1,324
MS-B 3.2  Use knowle,2016Q3,MS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,1.06,3.56,63,3.2,325
MS-B 3.3  Plan instr,2016Q3,MS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,1.78,3.37,40,3.3,326
MS-B 3.4  Individual,2016Q3,MS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,1.05,2.6,67,3.4,327
MS-B 3.5  Adapt and ,2016Q3,MS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,3.62,1.73,85,3.5,328
MS-B 3.6  Use a rang,2016Q3,MS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,3.6,1.41,33,3.6,329
MS-B 3.7  Model and ,2016Q3,MS-BILINGUAL,3.7  Model and develop digital literacy by using technology,1.51,1.84,48,3.7,330
MS-B 3.8  Demonstrat,2016Q3,MS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.88,2.56,21,3.8,331
MS-B TPE 4: Planning,2016Q3,MS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.37,1.17,54,4,332
MS-B 4.1  Locate and,2016Q3,MS-BILINGUAL,4.1  Locate and apply information about students' current academic status,3.05,3.24,91,4.1,333
MS-B 4.2  Understand,2016Q3,MS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.06,3.93,57,4.2,334
MS-B 4.3  Design ins,2016Q3,MS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.22,2.47,83,4.3,335
"MS-B 4.4  Plan, desi",2016Q3,MS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",2.52,1.01,87,4.4,336
MS-B 4.5  Promote st,2016Q3,MS-BILINGUAL,4.5  Promote student success,1.51,3.02,96,4.5,337
MS-B 4.6  Access res,2016Q3,MS-BILINGUAL,4.6  Access resources for planning and instruction,3.39,1.14,28,4.6,338
MS-B 4.7  Plan instr,2016Q3,MS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,2.59,1.5,81,4.7,339
MS-B 4.8  Use digita,2016Q3,MS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,3.1,2.84,47,4.8,340
MS-B TPE 5: Assessin,2016Q3,MS-BILINGUAL,TPE 5: Assessing Student Learning,4,1.02,92,5,341
MS-B 5.1  Apply know,2016Q3,MS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,2.68,2.6,85,5.1,342
MS-B 5.2  Collect an,2016Q3,MS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,1.55,2.84,22,5.2,343
MS-B 5.3  Involve al,2016Q3,MS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,1.36,1.89,65,5.3,344
MS-B 5.4  Use techno,2016Q3,MS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,3.08,3.19,97,5.4,345
MS-B 5.5  Use assess,2016Q3,MS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.68,2.97,35,5.5,346
MS-B 5.6  Work with ,2016Q3,MS-BILINGUAL,5.6  Work with specialists to interpret assessment results,1.74,1.24,74,5.6,347
MS-B 5.7  Interpret ,2016Q3,MS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.67,3,13,5.7,348
MS-B 5.8  Use assess,2016Q3,MS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",3.53,3.27,41,5.8,349
MS-B TPE 6: Developi,2016Q3,MS-BILINGUAL,TPE 6: Developing as a Professional Educator,2.22,2.96,51,6,350
MS-B 6.1  Reflect on,2016Q3,MS-BILINGUAL,6.1  Reflect on their own teaching practice,2.48,3.59,30,6.1,351
MS-B 6.2  Recognize ,2016Q3,MS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,1.31,1.89,86,6.2,352
MS-B 6.3  Establish ,2016Q3,MS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,1.14,1.3,58,6.3,353
MS-B 6.4  Demonstrat,2016Q3,MS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.6,3.11,63,6.4,354
MS-B 6.5  Demonstrat,2016Q3,MS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,1.71,3.15,39,6.5,355
MS-B 6.6  Understand,2016Q3,MS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,1.62,1.5,59,6.6,356
MS-B 6.7  Critically,2016Q3,MS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,1.73,1.57,48,6.7,357
MS-B TPE 1: Engaging,2016Q4,MS-BILINGUAL,TPE 1: Engaging and Supporting All Students,1.92,3.04,24,1,358
MS-B 1.1  Apply know,2016Q4,MS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,3.98,2.68,17,1.1,359
MS-B 1.2  Maintain o,2016Q4,MS-BILINGUAL,1.2  Maintain ongoing communication with students and families,1.78,1.01,63,1.2,360
MS-B 1.3  Connect su,2016Q4,MS-BILINGUAL,1.3  Connect subject matter to real-life contexts,3,2.21,87,1.3,361
MS-B 1.4  Use… appro,2016Q4,MS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,3.31,2.29,97,1.4,362
MS-B 1.5  Promote st,2016Q4,MS-BILINGUAL,1.5  Promote students' critical and creative thinking,1.62,3.11,19,1.5,363
MS-B 1.6  Provide a ,2016Q4,MS-BILINGUAL,1.6  Provide a supportive learning environment,1.79,1.28,98,1.6,364
MS-B 1.7  Provide st,2016Q4,MS-BILINGUAL,1.7  Provide students to access  visual and performing arts,2.3,3.37,93,1.7,365
MS-B 1.8  Monitor st,2016Q4,MS-BILINGUAL,1.8  Monitor student learning and adjust instruction,3.08,3.85,53,1.8,366
MS-B TPE 2: Creating,2016Q4,MS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.41,1.53,65,2,367
MS-B 2.1  Promote st,2016Q4,MS-BILINGUAL,2.1  Promote students' social-emotional growth,3.35,1.31,23,2.1,368
MS-B 2.2  Create lea,2016Q4,MS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,1.8,3.22,81,2.2,369
"MS-B 2.3  Establish,",2016Q4,MS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.47,1.61,77,2.3,370
MS-B 2.4  Know how t,2016Q4,MS-BILINGUAL,2.4  Know how to access resources to support students,3.36,2.06,100,2.4,371
MS-B 2.5  Maintain h,2016Q4,MS-BILINGUAL,2.5  Maintain high expectations for learning,2.37,2.86,94,2.5,372
MS-B 2.6  Establish ,2016Q4,MS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,2.72,1.57,30,2.6,373
MS-B TPE 3: Understa,2016Q4,MS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.47,1.44,95,3,374
MS-B 3.1  Demonstrat,2016Q4,MS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,2.75,3.69,57,3.1,375
MS-B 3.2  Use knowle,2016Q4,MS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,1.62,2.87,38,3.2,376
MS-B 3.3  Plan instr,2016Q4,MS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,3.09,3.65,48,3.3,377
MS-B 3.4  Individual,2016Q4,MS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,2.46,3.57,32,3.4,378
MS-B 3.5  Adapt and ,2016Q4,MS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,3.52,3.59,22,3.5,379
MS-B 3.6  Use a rang,2016Q4,MS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.37,1.11,93,3.6,380
MS-B 3.7  Model and ,2016Q4,MS-BILINGUAL,3.7  Model and develop digital literacy by using technology,3.48,3.03,45,3.7,381
MS-B 3.8  Demonstrat,2016Q4,MS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.45,3.52,15,3.8,382
MS-B TPE 4: Planning,2016Q4,MS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.1,3.65,85,4,383
MS-B 4.1  Locate and,2016Q4,MS-BILINGUAL,4.1  Locate and apply information about students' current academic status,3.9,1.68,33,4.1,384
MS-B 4.2  Understand,2016Q4,MS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.25,2.09,20,4.2,385
MS-B 4.3  Design ins,2016Q4,MS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,1.42,3.52,32,4.3,386
"MS-B 4.4  Plan, desi",2016Q4,MS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",2.16,3.05,46,4.4,387
MS-B 4.5  Promote st,2016Q4,MS-BILINGUAL,4.5  Promote student success,1.05,1.94,25,4.5,388
MS-B 4.6  Access res,2016Q4,MS-BILINGUAL,4.6  Access resources for planning and instruction,1.58,2.09,49,4.6,389
MS-B 4.7  Plan instr,2016Q4,MS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,3.98,1.57,57,4.7,390
MS-B 4.8  Use digita,2016Q4,MS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,2.55,2.75,15,4.8,391
MS-B TPE 5: Assessin,2016Q4,MS-BILINGUAL,TPE 5: Assessing Student Learning,1.98,1.37,79,5,392
MS-B 5.1  Apply know,2016Q4,MS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.73,3.06,33,5.1,393
MS-B 5.2  Collect an,2016Q4,MS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,3.99,3.02,81,5.2,394
MS-B 5.3  Involve al,2016Q4,MS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,1.5,1.17,17,5.3,395
MS-B 5.4  Use techno,2016Q4,MS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,1.75,2.37,60,5.4,396
MS-B 5.5  Use assess,2016Q4,MS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.74,3.77,54,5.5,397
MS-B 5.6  Work with ,2016Q4,MS-BILINGUAL,5.6  Work with specialists to interpret assessment results,3.23,3.26,16,5.6,398
MS-B 5.7  Interpret ,2016Q4,MS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,1.64,3.32,93,5.7,399
MS-B 5.8  Use assess,2016Q4,MS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.63,1.74,71,5.8,400
MS-B TPE 6: Developi,2016Q4,MS-BILINGUAL,TPE 6: Developing as a Professional Educator,3.89,1.12,34,6,401
MS-B 6.1  Reflect on,2016Q4,MS-BILINGUAL,6.1  Reflect on their own teaching practice,2.84,1.78,85,6.1,402
MS-B 6.2  Recognize ,2016Q4,MS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,1.09,2.75,87,6.2,403
MS-B 6.3  Establish ,2016Q4,MS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,3.36,2.33,84,6.3,404
MS-B 6.4  Demonstrat,2016Q4,MS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.13,2.32,82,6.4,405
MS-B 6.5  Demonstrat,2016Q4,MS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,3.07,2.72,42,6.5,406
MS-B 6.6  Understand,2016Q4,MS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,3.8,3.71,47,6.6,407
MS-B 6.7  Critically,2016Q4,MS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,2.29,1.83,36,6.7,408
